rank,symbol,name,exch_name,sector,industry,country,mcap_eur_m,price,currency,overall,fund_score,ai_score,pillar_quality,pillar_growth,pillar_balance,pillar_valuation,pe_ttm,pe_fwd,ev_ebitda,ev_rev,pb,ps,earnings_yield,fwd_earnings_yield,fcf_yield,div_yield,payout,analyst_upside,n_analysts,rec_key,roe,roa,gm,om,nm,rev_growth,eps_growth,nd_ebitda,net_cash_eur_m,debt_equity,current_ratio,rev_eur_m,employees,rev_emp_keur,insider_pct,beta,w52_change,adv_eur_k,coverage,ai_base,ai_note,dup_class
735,NOKIA.HE,Nokia Oyj,Helsinki,Technology,Communication Equipment,Finland,49416.59341,8.852,EUR,54.7,46.3,70.4,45.0,39.4,75.8,37.7,63.22857,21.95927,18.563,2.355,2.33747,2.47132,0.01582,0.04554,0.03232,0.0158,1.0,0.22078,22.0,hold,0.03725,0.02756,0.45359,0.05292,0.03981,0.024,,-0.98739,2505.00019,0.1563,1.567,19996.00026,78005,256.34255,0.06678,0.794,1.15692,142849.28278,0.92,74,"Network equipment — AI traffic drives demand, ops automate",False
736,BHOLM.ST,Bergholm Fritidsfordon Ab,Stockholm,Consumer Cyclical,Recreational Vehicles,Sweden,13.20541,10.1,SEK,54.7,58.7,47.4,27.1,57.0,82.2,84.9,4.41048,,6.016,0.233,1.50387,0.24547,0.22673,,,,0.0,,,none,,,0.13071,0.0416,0.05557,0.079,,-0.32208,0.67105,0.0111,1.847,53.79579,23,2338.94752,,,-0.02885,1.74852,0.67,60,Consumer Cyclical sector default,False
737,ALBERT.ST,eEducation Albert AB (publ),Stockholm,Technology,Software - Application,Sweden,10.47722,4.6,SEK,54.7,37.3,87.0,24.4,8.9,52.9,63.5,,,-5.121,0.34,3.67412,0.64358,-0.48043,,0.24277,,0.0,0.34783,1.0,none,-0.93319,-0.22371,0.61668,-0.45258,-0.30998,-0.194,,,4.93891,0.09805,0.806,16.27956,77,211.42288,0.41162,-0.162,0.4375,7.1234,0.83,92,Software economics — AI compounds both the product and dev productivity,False
738,SBI.HE,Sunborn International Plc,Helsinki,Consumer Cyclical,Lodging,Finland,98.65152,0.1735,EUR,54.7,48.3,66.7,60.9,,41.5,37.0,,-8.675,15.466,5.084,1.2305,5.15575,-0.05764,-0.11527,0.0353,,0.0,0.15274,1.0,none,-0.10282,0.01483,0.86646,0.68321,-0.21093,,,-0.21724,1.36644,,0.1,19.13428,287,66.66995,0.90455,1.004,-0.1816,12.60686,0.75,58,Lodging — revenue management and service automation,False
739,DG,Dollar General Corporation,USA,Consumer Defensive,Discount Stores,United States,24235.36354,125.75,USD,54.6,51.1,61.2,54.7,43.8,25.0,64.8,17.78642,15.70375,12.453,0.979,3.13669,0.64396,0.05622,0.06368,0.06787,0.0188,0.3338,0.04093,29.0,buy,0.1891,0.04632,0.30827,0.05919,0.03632,0.034,0.124,4.26426,-12620.84855,1.78649,1.169,37634.93843,194000,193.99453,0.00282,0.247,0.16868,377203.32973,1.0,62,Discount retail — supply-chain automation at scale,False
740,AFRY.ST,Afry AB,Stockholm,Industrials,Engineering & Construction,Sweden,1061.40245,103.4,SEK,54.6,49.2,64.5,41.0,28.6,37.4,78.3,14.81375,7.67632,9.628,0.708,0.91852,0.46523,0.0675,0.13027,0.21231,0.058,0.8596,0.35977,5.0,buy,0.06259,0.0353,0.18203,0.05821,0.03139,-0.024,0.003,3.2973,-552.89731,0.57224,1.026,2281.47177,17301,131.86936,0.11754,0.938,-0.32418,3693.34242,1.0,66,"Engineering — design, tendering and site planning automate",False
741,FMM-B.ST,FM Mattsson AB (publ),Stockholm,Industrials,Building Products & Equipment,Sweden,302.96272,79.0,SEK,54.6,55.6,52.8,57.1,31.1,83.6,56.1,24.53416,19.22141,13.792,1.602,3.00232,1.67922,0.04076,0.05203,0.05494,0.0316,0.6211,0.26582,1.0,none,0.12555,0.06091,0.38025,0.08369,0.0683,0.04,-0.215,-0.66252,13.88588,0.07698,2.41,180.41909,557,323.91219,0.40394,0.545,0.34354,102.05823,1.0,54,Building products — configure-to-order automation,False
742,BACTI-B.ST,Bactiguard Holding AB (publ),Stockholm,Healthcare,Medical Devices,Sweden,49.23326,15.5,SEK,54.6,45.2,72.1,40.9,68.0,47.6,33.9,,172.22221,20.926,3.174,1.78407,2.62479,-0.01548,0.00581,0.03545,,0.0,0.35484,1.0,strong_buy,-0.02855,-0.00088,0.8737,-0.09598,-0.04234,0.119,,3.61851,-10.29359,0.51599,1.649,18.757,164,114.37193,0.53687,0.406,-0.43636,6.71544,0.92,66,Devices — embedded intelligence differentiates hardware,False
743,FORTUM.HE,Fortum Oyj,Helsinki,Utilities,Utilities - Renewable,Finland,17842.10432,19.885,EUR,54.5,60.8,42.7,58.7,65.2,62.7,59.3,21.61413,21.35096,15.116,3.635,2.17751,3.34184,0.04627,0.04684,0.07316,0.0372,0.8043,-0.1096,18.0,underperform,0.09157,0.03642,0.40438,0.26104,0.15415,0.213,0.16,1.1581,-1486.99981,0.48465,2.078,5338.99981,4535,1177.28772,0.5295,0.094,0.24788,15040.73561,1.0,48,Utilities — grid optimisation inside a regulated envelope,False
744,WTG.ST,Wonderful Times Group AB,Stockholm,Consumer Cyclical,Leisure,Sweden,4.07082,10.2,SEK,54.5,56.7,50.3,43.5,51.4,87.9,60.1,11.59091,,10.263,0.631,0.77555,0.51701,0.08627,,0.01059,0.0294,0.1364,,,none,0.06954,0.04748,0.26527,0.02314,0.04525,0.061,,-0.37397,0.18101,,5.292,7.8738,12,656.15013,0.7026,0.271,0.02,0.71188,0.83,58,Leisure — dynamic pricing and personalisation,False
745,DRI,"Darden Restaurants, Inc.",USA,Consumer Cyclical,Restaurants,United States,19866.74397,198.53,USD,54.4,56.1,51.2,66.2,68.6,12.2,57.8,19.01628,16.02776,14.18,2.307,10.27961,1.7212,0.05259,0.06239,0.04729,0.0308,0.5747,0.15012,24.0,buy,0.53718,0.07817,0.21668,0.14335,0.09134,0.137,0.36,3.62046,-6797.386,3.62378,0.314,11542.36408,,,0.00288,0.585,-0.04004,217450.61426,1.0,55,Restaurants — ordering and kitchen workflow automation,False
746,METSO.HE,Metso Oyj,Helsinki,Industrials,Farm & Heavy Construction Machinery,Finland,12628.73088,15.25,EUR,54.4,53.0,57.1,61.2,40.3,55.7,50.5,26.2931,17.69552,16.011,2.61,4.5105,2.39181,0.03803,0.05651,0.04388,0.0262,0.6552,0.11924,19.0,buy,0.1757,0.0626,0.32519,0.13179,0.08125,0.033,0.07,1.32001,-1136.0,0.55153,1.52,5280.0,17572,300.47803,0.16879,1.2,0.29292,17585.385,1.0,60,Heavy equipment — autonomy retrofit is slow but real,False
747,CAPMAN.HE,CapMan Oyj,Helsinki,Financial Services,Asset Management,Finland,309.84454,1.752,EUR,54.4,44.8,72.2,47.1,51.0,53.8,33.4,25.02857,10.61818,29.893,5.317,1.71261,4.6726,0.03995,0.09418,3e-05,0.0742,1.8571,0.11301,2.0,buy,0.07961,0.01573,0.39024,0.12478,0.1873,0.252,-0.186,3.13828,-37.016,0.56714,2.501,66.311,200,331.555,0.35501,0.49,-0.08176,184.18075,1.0,80,Asset management — research and back-office automation,False
748,ODFL,"Old Dominion Freight Line, Inc.",USA,Industrials,Trucking,United States,42489.17171,233.84,USD,54.3,52.3,58.0,74.7,27.0,78.4,29.9,48.81837,36.11479,28.324,8.868,11.06254,8.91299,0.02048,0.02769,0.01772,0.005,0.2359,-0.017,22.0,hold,0.23331,0.15029,0.38946,0.23776,0.18461,-0.029,-0.042,-0.14523,216.75273,0.00909,1.565,4767.10551,20264,235.24998,0.08215,1.184,0.4324,396223.31979,1.0,58,"Trucking — dispatch automation, driver cost exposure",False
749,PH,Parker-Hannifin Corporation,USA,Industrials,Specialty Industrial Machinery,United States,105007.22285,953.21,USD,54.3,51.8,58.9,71.7,46.4,45.7,35.3,35.21278,27.95073,23.599,6.161,8.2269,5.72673,0.0284,0.03578,0.02308,0.0084,0.2657,0.09073,23.0,buy,0.24842,0.09541,0.37442,0.21528,0.16582,0.106,-0.042,1.66198,-7955.91254,0.65554,1.129,18336.34316,57950,316.41662,0.00187,1.11,0.34025,616079.13279,1.0,62,Machinery — predictive maintenance and embedded software,False
750,PM,Philip Morris International Inc.,USA,Consumer Defensive,Tobacco,United States,262783.35863,192.98,USD,54.3,56.8,49.8,86.3,42.5,34.4,43.2,27.18028,21.11409,18.784,8.417,,7.24871,0.03679,0.04736,0.02851,0.0305,0.8109,0.00973,14.0,buy,,0.15456,0.67281,0.36044,0.26742,0.091,-0.093,2.50145,-40637.53558,,0.976,36252.43532,84900,427.00159,0.00163,0.405,0.06926,840009.36315,0.83,48,Tobacco — limited AI surface,False
751,INTEA-B.ST,Intea Fastigheter AB ser. B,Stockholm,Real Estate,Real Estate Services,Sweden,1932.59085,73.7,SEK,54.3,62.0,39.9,75.5,89.7,11.3,53.1,10.77485,,25.637,20.442,1.62873,12.13538,0.09281,,0.03576,0.0136,0.1462,0.17368,4.0,strong_buy,0.13195,0.03079,0.8321,0.80088,0.91064,0.266,3.735,10.18059,-1292.78272,1.09835,0.067,159.25255,71,2242.99362,0.24394,,-0.07003,2239.05165,1.0,40,Real estate — asset returns dominate; admin automation marginal,False
752,CNCJO-B.ST,Concejo AB (publ),Stockholm,Industrials,Building Products & Equipment,Sweden,49.72695,46.9,SEK,54.3,54.6,53.8,44.5,57.3,90.5,46.5,2.84587,24.55498,367.939,0.794,0.7112,1.07574,0.35139,0.04072,0.01969,0.0213,0.0,,,none,0.26085,-0.0008,0.4202,-0.09666,0.37824,-0.098,29.082,-131.72727,13.13358,0.05023,2.604,46.22584,153,302.12968,0.81136,0.683,0.15233,13.80288,1.0,54,Building products — configure-to-order automation,False
753,SIMRIS-B.ST,Simris Group AB (PUBL),Stockholm,Healthcare,Biotechnology,Sweden,14.49774,0.1185,SEK,54.2,45.9,69.5,29.0,97.2,29.8,39.5,,,-10.658,79.357,29.625,85.08006,-0.25316,,-0.08895,,0.0,,,none,-12.23239,-0.12063,1.01543,-13.26887,0.0,1.667,,,0.97518,,0.991,0.1704,5,34.08023,0.07238,0.866,-0.33983,2.38905,0.75,60,"Biotech — discovery upside, binary science risk dominates",False
754,RAKE.ST,Raketech Group Holding PLC,Stockholm,Communication Services,Advertising Agencies,Malta,7.37833,1.8,SEK,54.2,45.1,71.1,39.6,4.9,65.5,68.2,,0.77586,1.07942,0.29793,0.22914,0.30702,-0.01667,1.28889,2.70872,,0.0,,,none,0.0052,0.01997,0.4063,0.05138,-0.51612,-0.36,,-0.36333,2.41,0.1179,0.977,24.03227,59,407.32664,0.3946,0.371,-0.35599,2.10202,0.92,80,"Advertising — targeting, creative and buying are AI-disrupted/enabled",False
755,TGT,Target Corporation,USA,Consumer Defensive,Discount Stores,United States,55397.02051,139.6,USD,54.1,51.0,60.0,55.0,34.9,33.4,66.0,18.44122,15.64466,9.485,0.744,3.86725,0.59604,0.05423,0.06392,0.04954,0.0332,0.5997,-0.0423,34.0,buy,0.22015,0.05675,0.28139,0.0452,0.03243,0.067,-0.247,1.88615,-13750.29044,1.17548,0.932,92941.59023,415000,223.95564,0.00265,0.981,0.37253,623920.83453,1.0,62,Discount retail — supply-chain automation at scale,False
756,XYL,Xylem Inc.,USA,Industrials,Specialty Industrial Machinery,United States,25498.06691,122.78,USD,54.1,51.9,58.1,55.3,43.9,67.2,45.7,30.61845,20.10829,16.053,3.376,2.60513,3.21021,0.03266,0.04973,0.03286,0.014,0.4055,0.22793,17.0,buy,0.08724,0.05006,0.3861,0.12894,0.10791,0.027,0.145,0.65533,-1094.74608,0.18354,1.463,7942.80721,22000,361.03669,0.00324,1.023,-0.06943,222169.66246,1.0,62,Machinery — predictive maintenance and embedded software,False
757,ESSITY-B.ST,Essity AB (publ),Stockholm,Consumer Defensive,Household & Personal Products,Sweden,17382.24135,282.8,SEK,54.1,55.0,52.4,59.7,31.7,49.8,67.7,15.95037,21.39183,9.312,1.658,2.19465,1.394,0.06269,0.04675,0.04682,0.0309,0.4935,-0.03725,15.0,hold,0.13964,0.06621,0.3329,0.12624,0.08808,0.026,-0.103,1.45909,-3239.07189,0.45728,1.088,12469.28382,36000,346.36899,0.07739,0.367,0.15617,37556.67213,1.0,55,Staples — marketing and supply-chain optimisation,False
758,ADDT-B.ST,Addtech AB (publ.),Stockholm,Industrials,Industrial Distribution,Sweden,8401.42219,343.2,SEK,54.1,52.1,57.9,68.2,48.8,53.8,34.8,41.65049,43.77551,25.736,4.285,11.86763,4.02375,0.02401,0.02284,0.02792,0.0105,0.3879,0.1143,7.0,strong_buy,0.26891,0.09626,0.33565,0.14371,0.0965,0.057,0.148,1.41773,-492.80371,0.74526,1.758,2087.95779,4962,420.78956,0.02031,1.136,0.01719,11686.47309,1.0,64,"Distribution — pricing, inventory and sales automation",False
759,NIVI-B.ST,Nivika Fastigheter AB (publ),Stockholm,Real Estate,Real Estate Services,Sweden,312.48252,38.1,SEK,54.1,61.7,40.1,67.4,83.3,17.7,62.8,9.04988,,18.632,12.698,0.61561,4.07031,0.1105,,0.05827,0.0189,0.1568,0.25984,2.0,strong_buy,0.07057,0.02587,0.72255,0.68161,0.47462,0.155,2.683,12.66003,-662.38912,1.29272,0.95,76.77115,60,1279.51918,0.64051,1.126,-0.11601,378.35508,1.0,40,Real estate — asset returns dominate; admin automation marginal,False
760,GOMX.ST,GomSpace Group AB (publ),Stockholm,Industrials,Aerospace & Defense,Denmark,204.77707,13.02,SEK,54.1,45.8,69.4,32.0,94.4,72.7,16.1,,-31.7561,176.277,4.78,10.23585,5.11374,-0.01306,-0.03149,-0.05875,,0.0,-0.07834,1.0,none,-0.20425,0.01194,0.37002,0.03719,-0.05896,0.824,,-7.04992,7.65455,0.60154,2.006,40.04445,208,192.52138,0.51376,1.691,-0.225,768.96287,0.92,72,Defence — autonomy and sensor fusion are budget priorities,False
761,ADTR.ST,Adtraction Group AB,Stockholm,Communication Services,Advertising Agencies,Sweden,55.99542,37.2,SEK,54.1,48.6,64.3,20.5,66.7,69.7,58.7,,-112.72727,8.426,0.396,2.97101,0.50657,-0.02527,-0.00887,0.10419,0.0591,10.6461,,,none,-0.07094,-0.0149,0.08199,-0.00867,-0.0128,0.115,,-2.3298,12.11824,,1.253,110.53776,133,831.11101,0.76807,1.135,0.22772,30.72691,0.83,80,"Advertising — targeting, creative and buying are AI-disrupted/enabled",False
762,REBL.HE,Rebl Group Oyj,Helsinki,Communication Services,Publishing,Finland,14.77048,1.18,EUR,54.1,42.6,75.4,33.9,51.4,37.7,49.3,,-6.94118,13.099,0.28,0.37772,0.13227,-0.18644,-0.14407,0.15681,,0.0,0.01695,1.0,none,-0.06143,-0.029,0.58292,-0.01514,-0.02473,0.061,,6.8062,-16.26,0.67046,1.543,111.668,622,179.53055,0.93176,0.259,-0.18056,1.57176,0.92,76,Publishing — content production economics shift with AI,False
763,FIX,"Comfort Systems USA, Inc.",USA,Industrials,Engineering & Construction,United States,51460.99658,1674.06,USD,54.0,51.4,58.9,67.1,51.2,59.8,29.0,48.31342,30.90429,35.225,6.034,91.20458,5.81116,0.0207,0.03236,0.01867,0.0016,0.065,0.23293,7.0,strong_buy,0.53294,0.17266,0.25128,0.07885,0.12073,0.01,0.388,0.13441,-203.90498,0.45489,1.24,8855.55014,22700,390.11234,0.0116,1.66,2.07195,697704.90592,1.0,66,"Engineering — design, tendering and site planning automate",False
764,FTV,Fortive Corporation,USA,Technology,Scientific & Technical Instruments,United States,16455.53993,61.78,USD,54.0,47.8,65.4,60.3,38.9,34.4,45.8,36.12865,19.17806,18.542,5.211,3.10374,4.44688,0.02768,0.05214,0.05063,0.0039,0.1526,0.03967,13.0,hold,0.06814,0.03251,0.63255,0.17926,0.12837,0.077,-0.124,2.71047,-2818.55625,0.58806,0.708,3700.46903,10000,370.0469,0.00409,0.977,0.23215,166502.35094,1.0,68,Instruments — measurement + software attach,False
765,CATE.ST,Catena AB (publ),Stockholm,Real Estate,Real Estate - Diversified,Sweden,2384.35969,396.2,SEK,54.0,61.8,39.5,71.6,86.5,13.6,57.9,11.64267,15.49472,22.213,17.955,0.96057,9.1851,0.08589,0.06454,0.05179,0.024,0.2717,0.25599,8.0,strong_buy,0.08514,0.02812,0.82786,0.84864,0.75035,0.255,1.644,10.84924,-2276.4866,0.93095,0.114,259.58982,68,3817.49733,0.30274,1.262,-0.15702,2626.64803,1.0,40,Real estate — asset returns dominate; admin automation marginal,False
766,NCAB.ST,NCAB Group AB (publ),Stockholm,Technology,Electronic Components,Sweden,1243.90011,73.4,SEK,54.0,50.9,59.7,59.5,68.9,52.9,27.7,60.16393,31.91304,33.423,3.754,8.6792,3.55651,0.01662,0.03134,0.01592,0.015,0.0,0.15804,3.0,buy,0.15552,0.0644,0.34943,0.10347,0.05923,0.12,0.432,1.76013,-69.14842,0.73346,1.826,349.75296,656,533.15999,0.05395,1.051,0.33455,2403.76432,1.0,68,Components — factory automation and quality inspection,False
767,MODU.HE,Modulight Oyj,Helsinki,Healthcare,Medical Devices,Finland,46.09731,1.085,EUR,54.0,45.0,70.8,36.6,25.3,91.0,44.9,,-21.7,-30.722,3.788,1.05545,4.41926,-0.08295,-0.04608,-0.06398,,0.0,0.47465,2.0,none,-0.08638,-0.0506,0.9048,-0.43553,-0.3783,-0.031,,,6.589,0.05701,4.369,10.431,62,168.24194,0.67084,1.769,-0.1092,21.84213,0.83,66,Devices — embedded intelligence differentiates hardware,False
768,ENERS.ST,Enersize Oyj,Stockholm,Technology,Software - Application,Sweden,1.03486,0.0014,SEK,54.0,38.9,81.9,22.2,95.5,4.0,38.1,,,-1.65099,3.09749,,3.01339,-0.0,,-0.68152,,0.0,,,none,,-1.20306,0.45017,-0.36865,0.0,0.927,,,-0.31863,,0.238,0.34342,1,343.42,0.36307,0.908,-0.36364,7.61702,0.67,92,Software economics — AI compounds both the product and dev productivity,False
769,KMB,Kimberly-Clark Corporation,USA,Consumer Defensive,Household & Personal Products,United States,31423.2635,108.35,USD,53.9,55.0,51.9,75.0,45.8,23.5,53.4,20.95745,14.33586,12.727,2.576,20.02403,2.17237,0.04772,0.06976,0.02932,0.0473,0.9787,0.07122,15.0,hold,1.11727,0.10164,0.37147,0.19649,0.12799,0.027,0.179,1.95882,-5734.96685,3.71264,0.766,14464.97784,36000,401.80494,0.00707,0.279,-0.1449,442285.25816,1.0,55,Staples — marketing and supply-chain optimisation,False
770,LOW,"Lowe's Companies, Inc.",USA,Consumer Cyclical,Home Improvement Retail,United States,102308.11436,208.73,USD,53.9,53.7,54.2,61.9,46.8,32.5,59.4,17.64412,15.48711,12.607,1.796,,1.32412,0.05668,0.06457,0.04113,0.024,0.4057,0.26349,33.0,none,,0.12792,0.33293,0.11067,0.0751,0.103,-0.007,3.31587,-36494.44849,,1.093,77264.78793,167000,462.6634,0.00105,0.85,-0.05514,542760.59804,0.83,60,Consumer Cyclical sector default,False
771,NVR,"NVR, Inc.",USA,Consumer Cyclical,Residential Construction,United States,15305.92628,6490.04,USD,53.9,59.7,43.1,68.3,11.5,81.5,70.9,15.84792,15.63448,10.192,1.711,5.07427,1.76646,0.0631,0.06396,0.07139,,0.0,0.09891,5.0,hold,0.33257,0.17388,0.2249,0.13517,0.12489,-0.214,-0.285,-0.33343,484.84676,0.3122,5.576,8664.74143,6300,1375.35578,0.05472,0.902,-0.12014,159563.59589,1.0,52,"Construction — planning automation, execution stays physical",False
772,AAK.ST,AAK AB (publ.),Stockholm,Consumer Defensive,Packaged Foods,Sweden,5022.9966,212.2,SEK,53.9,57.9,46.6,61.0,43.2,70.3,57.8,15.28818,14.91216,10.56,1.309,2.73944,1.21626,0.06541,0.06706,0.01577,0.0259,0.3965,0.37187,9.0,buy,0.18711,0.09176,0.26207,0.09779,0.07945,-0.009,0.244,0.70032,-358.38623,0.2846,2.067,4129.87082,4000,1032.4677,0.30789,0.458,-0.17432,10871.16292,1.0,55,Consumer staples — demand forecasting and trade-spend optimisation,False
773,FLEXQ.ST,FlexQube AB (publ),Stockholm,Industrials,Specialty Industrial Machinery,Sweden,44.01554,28.2,SEK,53.9,49.7,61.7,29.1,95.2,36.2,50.0,,12.81818,-30.465,3.705,9.31616,3.6868,-0.04965,0.07801,-0.00183,,0.0,,,none,-0.54311,-0.07839,0.50479,0.01214,-0.19262,0.9,,,-0.22288,0.90877,1.149,11.93868,44,271.33374,0.75978,0.574,2.97183,84.23354,0.83,62,Machinery — predictive maintenance and embedded software,False
774,VST,Vistra Corp.,USA,Utilities,Utilities - Independent Power Producers,United States,45792.05282,155.44,USD,53.8,60.6,41.1,72.5,90.4,21.0,46.7,25.99331,14.38346,11.018,3.847,16.83709,2.69538,0.03847,0.06952,-0.00313,0.0059,0.1515,0.43571,18.0,strong_buy,0.42898,0.06022,0.38637,0.26578,0.11525,0.434,,2.93211,-17394.49297,3.66613,0.896,16989.09716,6390,2658.70065,0.00788,1.409,-0.1742,648231.08712,0.92,48,Utilities — grid optimisation inside a regulated envelope,False
775,NYAB.ST,NYAB AB,Stockholm,Industrials,Engineering & Construction,Sweden,396.74392,6.15,SEK,53.8,52.3,56.7,46.9,20.3,74.5,68.7,18.63636,17.57143,11.30267,0.73064,1.87687,0.73418,0.05366,0.05691,0.09146,0.0246,0.3333,0.23577,3.0,none,0.11207,0.0589,0.2165,0.01517,0.04217,-0.062,,-0.60934,21.285,0.06387,1.337,540.392,993,544.20141,0.7441,-0.012,-0.01125,365.25329,0.92,66,"Engineering — design, tendering and site planning automate",False
776,POSTI.HE,Posti Group Oyj,Helsinki,Industrials,Integrated Freight & Logistics,Finland,405.0,10.0,EUR,53.8,48.8,63.2,47.8,28.6,15.9,79.8,13.51351,8.77193,8.118,0.624,1.42898,0.28067,0.074,0.114,0.12914,0.084,0.0,-0.05667,3.0,none,0.11276,0.03708,0.29848,0.05333,0.02079,-0.013,,4.46619,-495.3,1.95695,0.718,1443.00006,13243,108.96323,0.67054,,0.24969,383.37,0.92,62,"Logistics — routing, pricing and warehouse automation",False
777,NYOR.ST,Nyorda AB,Stockholm,Communication Services,Advertising Agencies,Sweden,34.52676,6.32,SEK,53.8,46.6,67.3,27.6,52.2,52.5,62.1,,,-134.356,0.17,1.01201,0.17139,-0.04114,,0.0454,,0.0,0.89873,1.0,none,-0.03539,-0.00137,0.22118,0.01827,-0.00628,-0.006,0.544,,0.22469,0.16329,0.898,201.44588,370,544.44831,0.77781,,-0.16623,17.3862,0.92,80,"Advertising — targeting, creative and buying are AI-disrupted/enabled",False
778,SOSI1.HE,Sotkamo Silver AB,Helsinki,Basic Materials,Silver,Sweden,117.80081,0.346,EUR,53.8,56.6,48.5,55.4,97.4,44.5,37.0,34.6,,,,4.83208,,0.0289,,-0.01774,,0.0,,,none,0.04589,0.11756,0.54897,0.0,0.02634,1.694,,,,0.58604,1.139,,48,,0.0,2.416,2.54145,895.82445,0.75,46,Basic Materials sector default,False
779,ROBIT.HE,Robit Oyj,Helsinki,Industrials,Farm & Heavy Construction Machinery,Finland,25.58756,1.21,EUR,53.8,52.7,55.9,39.5,56.5,54.2,64.9,121.00001,7.5625,8.404,0.543,0.58539,0.32599,0.00826,0.13223,0.27352,,0.0,0.28099,1.0,none,0.00438,0.02038,0.3692,0.06805,0.00167,-0.013,1.03,3.27106,-16.581,0.56082,2.645,78.491,207,379.18357,0.38317,1.181,0.0,39.89491,1.0,60,Heavy equipment — autonomy retrofit is slow but real,False
780,SOUND.ST,Sound Dimension AB,Stockholm,Technology,Consumer Electronics,Sweden,,0.55,SEK,53.8,47.9,64.8,3.0,,70.4,89.0,,,-6.857,137.054,23.91304,,,,,,,,,none,,-1.44076,0.0,-19.80262,0.0,,,,0.30121,0.40653,2.484,0.04723,3,15.74168,0.34151,0.72,-0.30818,71.5383,0.5,66,Consumer electronics — on-device AI features,False
781,BOKUS.ST,Bokusgruppen AB (publ),Stockholm,Consumer Cyclical,Specialty Retail,Sweden,93.98426,64.2,SEK,53.7,51.6,57.5,47.0,29.9,35.6,79.4,12.22857,,9.988,0.634,1.54279,0.48213,0.08178,,0.18231,0.0623,0.7238,0.32399,1.0,strong_buy,0.13748,0.04627,0.26973,0.00498,0.04194,-0.008,,2.39751,-29.68424,0.48832,0.473,194.93709,491,397.02055,0.89741,-0.012,-0.05865,31.6089,0.92,64,"Retail — inventory, pricing and service automation",False
782,PIERCE.ST,Pierce Group AB (publ),Stockholm,Consumer Cyclical,Auto Parts,Sweden,70.03296,9.71,SEK,53.7,54.3,52.7,38.2,48.2,82.4,63.2,28.55882,14.27941,12.764,0.325,1.16246,0.42084,0.03502,0.07003,0.15482,,0.0,0.59629,2.0,none,0.04341,0.02212,0.42266,-0.00713,0.01525,0.05,,-3.72193,15.77117,0.15,1.901,166.41303,280,594.33224,0.2364,0.668,0.08613,236.91161,0.92,58,"Auto supply — factory automation, EV/AI transition risk",False
783,ONCO.ST,Oncopeptides AB (publ),Stockholm,Healthcare,Biotechnology,Sweden,55.51275,1.606,SEK,53.7,46.0,68.1,26.5,95.3,51.7,33.0,,-2.26197,-2.827,6.83,8.27835,7.35821,-0.54172,-0.44209,-0.19611,,0.0,0.55666,3.0,none,-6.23329,-0.57078,0.96569,-1.47853,-2.65635,0.913,,,6.01407,1.80767,4.553,7.54433,77,97.9783,0.09047,-1.314,-0.58123,869.60011,0.83,60,"Biotech — discovery upside, binary science risk dominates",False
784,ALIG.ST,Alimak Group AB (publ),Stockholm,Industrials,Specialty Industrial Machinery,Sweden,1199.07566,125.0,SEK,53.6,49.0,62.1,54.3,26.3,58.9,53.1,24.31907,16.7336,14.446,2.338,1.78268,1.95553,0.04112,0.05976,0.04394,0.0264,0.642,0.144,3.0,buy,0.07528,0.03998,0.4003,0.15096,0.0813,-0.016,-0.092,2.36438,-234.66413,0.44832,2.223,613.1722,3008,203.84714,0.06699,1.105,-0.19974,1459.41097,1.0,62,Machinery — predictive maintenance and embedded software,False
785,BOOZT.ST,Boozt AB (publ),Stockholm,Consumer Cyclical,Apparel Retail,Denmark,840.66439,157.6,SEK,53.6,54.5,51.8,47.1,62.4,64.3,53.1,34.33551,26.71186,17.508,1.184,3.42661,1.11786,0.02912,0.03744,0.09328,,0.0,-0.02284,5.0,strong_buy,0.11045,0.05047,0.29119,0.01264,0.037,0.006,1.777,0.84492,-42.96284,0.26136,1.447,752.03097,1044,720.33618,0.08212,1.786,0.8476,2537.14684,1.0,60,Apparel — demand forecasting and design assistance,False
786,SVED-B.ST,Svedbergs Group AB (publ),Stockholm,Industrials,Building Products & Equipment,Sweden,280.32573,58.0,SEK,53.6,53.9,53.1,62.8,31.3,48.1,61.4,14.42786,15.2231,11.709,1.851,1.83144,1.36763,0.06931,0.06569,0.03332,0.0345,0.4353,0.18621,5.0,strong_buy,0.13489,0.05943,0.48158,0.1159,0.09472,0.038,-0.194,3.06104,-99.16803,0.77391,2.172,204.97254,546,375.40758,0.04511,,0.02113,477.48792,1.0,54,Building products — configure-to-order automation,False
787,IR,Ingersoll Rand Inc.,USA,Industrials,Specialty Industrial Machinery,United States,28118.75946,82.24,USD,53.5,50.2,59.6,57.2,46.8,60.7,39.1,55.56757,21.34679,17.76,4.615,3.16259,4.13601,0.018,0.04685,0.03217,0.001,0.0541,0.13738,13.0,buy,0.05715,0.0512,0.43222,0.17069,0.07544,0.076,0.065,1.81007,-3197.39239,0.48353,2.227,6798.5222,21000,323.73915,0.00209,1.168,-0.01967,292198.35097,1.0,62,Machinery — predictive maintenance and embedded software,False
